time_s,z_m,vz_m_s,az_m_s2
0.0,0.95,-0.0,-0.0
0.028755434269021222,0.949999875935625,-1.2910929166525049e-05,-0.000893469387755102
0.057510868538042444,0.9499990149399999,-5.112598843912508e-05,-0.0017600000000000003
0.08626630280706366,0.9499967004818749,-0.00011387445393331067,-0.0025998639455782316
0.11502173707608489,0.94999223808,-0.00020039342637255677,-0.0034133333333333338
0.14377717134510612,0.949984955078125,-0.00030992783108830277,-0.004200680272108844
0.1725326056141273,0.9499742004199999,-0.0004417304180199522,-0.004962176870748299
0.20128803988314856,0.9499593444243749,-0.0005950617617148732,-0.005698095238095239
0.23004347415216977,0.94993977856,-0.0007691902613283979,-0.0064087074829932
0.25879890842119097,0.949914915220625,-0.0009633921406238234,-0.007094285714285714
0.28755434269021224,0.9498841874999999,-0.0011769514479724106,-0.0077551020408163284
0.3163097769592334,0.949847048966875,-0.0014091600563533849,-0.008391428571428572
0.3450652112282546,0.94980297344,-0.0016593176633539364,-0.009003537414965988
0.3738206454972759,0.949751454763125,-0.001926731791169219,-0.009591700680272111
0.4025760797662971,0.94969200658,-0.0022107177866023515,-0.010156190476190478
0.4313315140353183,0.949624162109375,-0.002510598821064417,-0.010697278911564627
0.46008694830433955,0.9495474739199999,-0.002825705890574462,-0.011215238095238098
0.48884238257336077,0.9494615137056249,-0.003155377815759499,-0.011710340136054424
0.5175978168423819,0.94936587206,-0.0034989612418545022,-0.012182857142857143
0.5463532511114032,0.9492601582518749,-0.0038558106387024146,-0.012633061224489798
0.5751086853804245,0.949144,-0.00422528830075414,-0.01306122448979592
0.6038641196494456,0.949017043248125,-0.004606764347068543,-0.013467619047619051
0.6326195539184668,0.9488789519399999,-0.0049996167213124665,-0.013852517006802723
0.6613749881874881,0.948729407794375,-0.005403231191760701,-0.01421619047619048
0.6901304224565092,0.94856811008,-0.005817001351296008,-0.014558911564625849
0.7188858567255305,0.948394775390625,-0.00624032861740912,-0.014880952380952384
0.7476412909945518,0.9482091374199999,-0.006672622232198721,-0.01518258503401361
0.7763967252635731,0.9480109467368749,-0.007113299262371474,-0.015464081632653068
0.8051521595325942,0.94779997056,-0.007561784599241991,-0.015725714285714287
0.8339075938016154,0.947575992533125,-0.008017510958732857,-0.015967755102040817
0.8626630280706366,0.9473388125,-0.008479918881374626,-0.016190476190476196
0.8914184623396578,0.9470882462793749,-0.008948456732305807,-0.01639414965986395
0.9201738966086791,0.9468241254399999,-0.009422580701272876,-0.01657904761904762
0.9489293308777004,0.946546297075625,-0.009901754802630275,-0.016745442176870753
0.9776847651467215,0.94625462358,-0.010385450875340412,-0.016893605442176874
1.0064401994157426,0.945948982421875,-0.01087314858297365,-0.017023809523809528
1.0351956336847639,0.94562926592,-0.011364335413708331,-0.017136326530612245
1.0639510679537851,0.9452953810181249,-0.011858506680330755,-0.017231428571428575
1.0927065022228064,0.9449472490599999,-0.012355165520235176,-0.017309387755102042
1.1214619364918277,0.944584805564375,-0.012853822895423833,-0.017370476190476193
1.150217370760849,0.9442079999999999,-0.01335399759250691,-0.017414965986394557
1.17897280502987,0.9438167955606249,-0.013855216222702561,-0.017443129251700683
1.2077282392988913,0.94341116894,-0.014357013221836912,-0.017455238095238104
1.2364836735679126,0.942991110106875,-0.014858930850344051,-0.017451564625850347
1.2652391078369336,0.9425566220799999,-0.015360519193266024,-0.017432380952380953
1.2939945421059549,0.942107720703125,-0.01586133616025284,-0.01739795918367347
1.3227499763749762,0.94164443442,-0.016360947485562487,-0.017348571428571432
1.3515054106439972,0.9411668040493749,-0.016858926728060896,-0.01728448979591837
1.3802608449130185,0.94067488256,-0.017354855271221978,-0.01720598639455782
1.4090162791820398,0.9401687348456249,-0.017848322323127604,-0.017113333333333338
1.437771713451061,0.9396484374999999,-0.018338924916467617,-0.017006802721088437
1.4665271477200823,0.9391140785918749,-0.018826267908539807,-0.01688666666666667
1.4952825819891036,0.9385657574399999,-0.019309963981249942,-0.01675319727891157
1.5240380162581249,0.9380035843881249,-0.01978963364111176,-0.01660666666666667
1.5527934505271461,0.9374276805799999,-0.020264905219246926,-0.016447346938775514
1.5815488847961672,0.9368381777343749,-0.02073541487138512,-0.01627551020408163
1.6103043190651884,0.93623521792,-0.021200806577863968,-0.016091428571428572
1.6390597533342095,0.935618953330625,-0.021660732143629048,-0.015895374149659865
1.6678151876032308,0.93498954606,-0.022114851198233896,-0.015687619047619047
1.6965706218722518,0.934347167876875,-0.022562831195840048,-0.015468435374149665
1.725326056141273,0.933692,-0.02300434741521698,-0.01523809523809524
1.7540814904102944,0.933024232873125,-0.023439082959742123,-0.014996870748299328
1.7828369246793156,0.93234406594,-0.0238667287574009,-0.014745034013605444
1.811592358948337,0.931651707419375,-0.024286983560786665,-0.014482857142857134
1.8403477932173582,0.93094737408,-0.024699553947100775,-0.014210612244897955
1.8691032274863795,0.930231291015625,-0.025104154318152522,-0.013928571428571422
1.8978586617554007,0.92950369142,-0.02550050690035917,-0.013637006802721095
1.9266140960244218,0.9287648163618749,-0.02588834174474594,-0.013336190476190469
1.955369530293443,0.92801491456,-0.026267396726946054,-0.01302639455782313
1.9841249645624641,0.9272542421581249,-0.02663741754720063,-0.012707891156462599
2.012880398831485,0.9264830625,-0.026998157730358813,-0.012380952380952388
2.0416358331005067,0.925701645904375,-0.027349378625877704,-0.012045850340136046
2.0703912673695277,0.92491026944,-0.027690849407822328,-0.011702857142857138
2.099146701638549,0.924109216700625,-0.028022347074865707,-0.011352244897959192
2.1279021359075703,0.92329877758,-0.028343656450288843,-0.010994285714285715
2.1566575701765913,0.922479248046875,-0.02865457018198065,-0.010629251700680274
2.185413004445613,0.92165092992,-0.028954888742438054,-0.010257414965986396
2.214168438714634,0.920814130643125,-0.029244420428765922,-0.00987904761904763
2.2429238729836554,0.91996916306,-0.029522981362677114,-0.009494421768707483
2.2716793072526764,0.9191163451893749,-0.029790395490492394,-0.00910380952380952
2.300434741521698,0.918256,-0.030046494583140543,-0.008707482993197272
2.329190175790719,0.917388455185625,-0.03029111823615831,-0.00830571428571427
2.35794561005974,0.9165140429399999,-0.030524113869690363,-0.007898775510204082
2.386701044328761,0.9156330997318749,-0.03074533672848937,-0.0074869387755102
2.4154564785977826,0.9147459660799999,-0.030954649881915954,-0.007070476190476201
2.4442119128668036,0.913852986328125,-0.031151924223938723,-0.00664965986394559
2.472967347135825,0.9129545084199999,-0.03133703847313421,-0.006224761904761917
2.501722781404846,0.9120508836743749,-0.031509879172686946,-0.005796054421768719
2.530478215673867,0.91114246656,-0.031670340690389376,-0.005363809523809524
2.5592336499428887,0.910229614470625,-0.031818325218641995,-0.0049282993197278906
2.5879890842119098,0.9093126874999999,-0.03195374277445316,-0.004489795918367346
2.6167445184809313,0.9083920482168749,-0.03207651119943932,-0.004048571428571418
2.6454999527499523,0.9074680614399999,-0.03218655615982474,-0.0036048979591836758
2.674255387018974,0.906541094013125,-0.032283811146441736,-0.00315904761904762
2.7030108212879944,0.90561151458,-0.032368217474730614,-0.002711292517006794
2.731766255557016,0.9046796933593749,-0.03243972428473957,-0.0022619047619047675
2.760521689826037,0.90374600192,-0.032498288541124826,-0.0018111564625850143
2.7892771240950585,0.9028108129556249,-0.0325438750331505,-0.0013593197278911526
2.8180325583640795,0.9018745000599999,-0.03257645637468875,-0.0009066666666666719
2.846787992633101,0.9009374375018749,-0.03259601300421968,-0.0004534693877550942
2.875543426902122,0.8999999999999999,-0.03260253318483132,-0.0
2.904298861171143,0.899062562498125,-0.03259601300421967,0.00045346938775508885
2.9330542954401646,0.8981254999399999,-0.03257645637468875,0.0009066666666666505
2.9618097297091857,0.897189187044375,-0.0325438750331505,0.0013593197278911418
2.990565163978207,0.89625399808,-0.03249828854112479,0.0018111564625850304
3.019320598247228,0.8953203066406249,-0.03243972428473956,0.0022619047619047675
3.0480760325162497,0.8943884854199999,-0.03236821747473064,0.002711292517006815
3.0768314667852708,0.8934589059868749,-0.032283811146441736,0.003159047619047604
3.1055869010542922,0.8925319385599999,-0.032186556159824735,0.00360489795918367
3.1343423353233133,0.891607951783125,-0.03207651119943933,0.0040485714285714335
3.1630977695923344,0.8906873124999999,-0.03195374277445314,0.0044897959183673565
3.191853203861356,0.8897703855293749,-0.031818325218641995,0.004928299319727901
3.220608638130377,0.88885753344,-0.03167034069038939,0.005363809523809529
3.2493640723993975,0.887949116325625,-0.031509879172686904,0.005796054421768692
3.278119506668419,0.88704549158,-0.03133703847313426,0.006224761904761917
3.30687494093744,0.886147013671875,-0.031151924223938733,0.006649659863945558
