s,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,-0.380506376984783,-0.021247351029367,-0.323930242667846,1.07965678039765e-09,-1.26811343641679,0.380506376472943
0.0033518717123698,-0.380506376984783,-0.0212474638489164,-0.324430242667846,1.07982531898123e-09,-1.26761354923634,0.380506376472377
0.0134077725094001,-0.380506376984783,-0.0212464842167592,-0.32592899318426,1.08033197316103e-09,-1.26611381908777,0.38050637647068
0.0301758484500457,-0.380506376984783,-0.021237979023329,-0.328421408600229,1.08118326260898e-09,-1.26361289847837,0.380506376467848
0.053646923492899,-0.380506376984784,-0.0212143073058209,-0.331898666617696,1.08238857951112e-09,-1.2601119687434,0.380506376463874
0.08382267543473,-0.380506376984784,-0.0211637377388223,-0.336349619116188,1.08396187999464e-09,-1.25561044667791,0.380506376458753
0.120699538424255,-0.380506376984785,-0.0210711685802085,-0.341759147496912,1.08592102773062e-09,-1.25010834913857,0.380506376452472
0.164268582081175,-0.380506376984786,-0.02091815959259,-0.348108237750028,1.08828793308716e-09,-1.24360624989784,0.38050637644502
0.21452627056647,-0.380506376984786,-0.0206829003591456,-0.355375626663684,1.09108934296236e-09,-1.23610360175073,0.380506376436381
0.271463957066278,-0.380506376984787,-0.0203413047876173,-0.363537390582368,1.09435663271683e-09,-1.22760024226052,0.380506376426534
0.335087424966097,-0.380506376984788,-0.0198622722748574,-0.372565298169663,1.09812730729487e-09,-1.21809330216047,0.380506376415455
0.405355556495843,-0.38050637698479,-0.019215487472825,-0.382425402332101,1.1024412002954e-09,-1.207586413196,0.38050637640312
0.482249864571315,-0.380506376984791,-0.0183658190406235,-0.393083011127867,1.10734564396576e-09,-1.19607913596803,0.380506376389497
0.561507738057533,-0.380506376984792,-0.0173356335331465,-0.403925545042193,1.11260681381305e-09,-1.18420641654623,0.380506376375313
0.634637525107095,-0.380506376984794,-0.0162435594646562,-0.413799903414681,1.11765149348731e-09,-1.17323998410525,0.380506376362089
0.701153929853512,-0.380506376984795,-0.0151328190121952,-0.422674428257225,1.12240260788965e-09,-1.16325471881024,0.380506376349942
0.760948877572251,-0.380506376984796,-0.0140396598941331,-0.430566699068099,1.12680899965082e-09,-1.15426928888131,0.380506376338922
0.814058767659293,-0.380506376984797,-0.0129916147409843,-0.43750722953823,1.13083258568516e-09,-1.14628071325803,0.380506376329051
0.860474471073769,-0.380506376984798,-0.0120167497377808,-0.443520232285026,1.13443529222216e-09,-1.13929284550803,0.380506376320358
0.900218433916534,-0.380506376984799,-0.0111382908860095,-0.448629981523766,1.13758521248206e-09,-1.13330463741752,0.380506376312865
0.93329801767713,-0.3805063769848,-0.0103763200761765,-0.452855553331046,1.14025340657399e-09,-1.1283170948004,0.380506376306592
0.95972990966279,-0.3805063769848,-0.00974732230077491,-0.456214106953168,1.14241612176619e-09,-1.12432954340288,0.380506376301555
0.979522088852867,-0.380506376984801,-0.00926459289408987,-0.458718619248307,1.14405361243991e-09,-1.12134230170106,0.380506376297769
0.992682348227943,-0.380506376984801,-0.00893804673252174,-0.460379012526671,1.14515103876673e-09,-1.11935536226112,0.380506376295244
0.999215941543677,-0.380506376984801,-0.00877447929332016,-0.461202083420498,1.14569813068482e-09,-1.1183687239281,0.38050637629399
1,-0.380506376984801,-0.0087548396206374,-0.461300852761148,1.14576380306523e-09,-1.11825031491476,0.380506376293839
