s,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,0.380496427391799,-0.0212376116000677,-0.323922819079524,2.3834022869789e-09,-1.26810866526587,-0.380514269348763
0.00335107239316798,0.380496560764951,-0.0212378536625487,-0.324422819079524,2.34962004334516e-09,-1.2676089402266,-0.380514163553917
0.0134052315856798,0.380496960922262,-0.0212372626016425,-0.325921668298721,2.24821220828462e-09,-1.26610959865052,-0.380513846139645
0.0301720902335289,0.380497628247262,-0.0212294065358973,-0.328414500986361,2.07882826019889e-09,-1.26360907450138,-0.380513316801967
0.0536425247789715,0.380498562376977,-0.0212066442176542,-0.33189250238762,1.84125117360061e-09,-1.26010854119673,-0.380512575828519
0.0838182138139727,0.380499763379588,-0.0211572442049837,-0.336344524379425,1.53497840460881e-09,-1.25560741543418,-0.38051162316615
0.120695590573078,0.380501231114577,-0.021066103955653,-0.341755447520363,1.15939851583599e-09,-1.2501057140779,-0.380510458926962
0.164265721769951,0.380502965228149,-0.0209147817837068,-0.348106256170275,7.13776464156317e-10,-1.24360401099439,-0.380509083392348
0.214525069060163,0.380504965581567,-0.0206814655832617,-0.355375685505573,1.97122541267822e-10,-1.23610175886662,-0.38050749667322
0.27146675405642,0.380506377092842,-0.0203412175090349,-0.363539240308319,-1.6936533541944e-10,-1.2275983041527,-0.380506377035996
0.335097558061218,0.38050637709278,-0.0198621113693249,-0.372568027716256,-1.6994895631878e-10,-1.21809041060505,-0.380506377034219
0.405373114962841,0.380506377092713,-0.0192152284328739,-0.382428987192086,-1.70616651074086e-10,-1.20758256819277,-0.380506377032242
0.482274933839785,0.380506377092638,-0.0183654341982498,-0.393087423636269,-1.71375746027503e-10,-1.19607433751396,-0.38050637703006
0.561533861059452,0.380506377092621,-0.0173351868554357,-0.403929878563819,-1.72189987832631e-10,-1.1842016352436,-0.380506377027847
0.634663049258686,0.380506377092622,-0.0162430809812621,-0.413803953982603,-1.72970706489358e-10,-1.17323545395064,-0.380506377025801
0.70117868709688,0.380506377092622,-0.015132320839407,-0.422678197169936,-1.7370598915815e-10,-1.16325045062145,-0.380506377023921
0.760972765540368,0.380506377092622,-0.0140391536019536,-0.430570197070868,-1.74387919119925e-10,-1.15426528348307,-0.380506377022216
0.814081688213423,0.380506377092622,-0.0129911074779332,-0.437510463515378,-1.75010603825813e-10,-1.14627697091454,-0.380506377020688
0.860496326779065,0.380506377092622,-0.0120162512355172,-0.443523211782677,-1.75568150560266e-10,-1.13928936640482,-0.380506377019343
0.900239128914894,0.380506377092622,-0.0111378087992188,-0.448632714236562,-1.76055620838985e-10,-1.13330142151464,-0.380506377018183
0.933317454759033,0.380506377092623,-0.0103758611996402,-0.452858045918981,-1.76468536618521e-10,-1.12831414223264,-0.380506377017212
0.959747992129304,0.380506377092623,-0.00974689253141503,-0.456216365281022,-1.76803222531701e-10,-1.12432685420237,-0.380506377016433
0.979538719886122,0.380506377092623,-0.00926419724018657,-0.458720648333582,-1.77056622543091e-10,-1.12133987585859,-0.380506377015847
0.992692467323101,0.380506384092651,-0.00893775531019353,-0.460380133527439,-2.92638457549677e-07,-1.11935351133735,-0.380505658326669
0.99921762020124,0.380506400582367,-0.00877426451185526,-0.461201992702181,-9.81579067068845e-07,-1.11836713100278,-0.380503965336849
1,0.380506402663318,-0.00875464994178829,-0.461300531974673,-1.06852120583794e-06,-1.11824884713184,-0.380503751686857
